NCF,NCL,IUD,OC,freq
0.551606192821415,0.655872771427547,0.629332145213147,0.648398073202272,3
0.507547677293787,0.610672077477012,0.584060553539406,0.602272372599689,3.25
0.46675586331402,0.568822771450567,0.542145606473946,0.559566644180692,3.5
0.428779593044636,0.529861999638979,0.503123724317042,0.519808562196519,3.75
0.393255164669883,0.4934166315755,0.46662119134322,0.48261736027633,4
0.359885093625434,0.459181470669049,0.432332332257609,0.44768159615332,4.25
0.328422953764134,0.426903702390456,0.40000393598902,0.414743281591883,4.5
0.298662322507282,0.396371552836481,0.369423896464807,0.383586308855553,4.75
0.270428564893105,0.367405859786933,0.340412770447115,0.354027849270577,5
0.243572624256739,0.339853702413476,0.312817397249819,0.325911852570303,5.25
0.217966258720544,0.313583514280122,0.286506004073707,0.299104059885998,5.5
0.193498337427259,0.288481283559479,0.261364400262743,0.273488126202669,5.75
0.170071925612603,0.26444756253841,0.237292982119093,0.248962568665941,6
0.147601965116326,0.241395087998365,0.21420434955101,0.225438338264823,6.25
0.126013410084975,0.219246868587875,0.192021390445351,0.202836868063357,6.5
0.105239714706854,0.197934633353366,0.170675726764893,0.181088489981494,6.75
0.0852215961052079,0.17739756256143,0.150106443379891,0.160131139644361,7
0.0659060144147978,0.157581241334781,0.130259040062803,0.139909288604965,7.25
0.0472453258358241,0.138436790749842,0.111084561222988,0.120373057660187,7.5
0.0291965746130747,0.119920141461074,0.0925388683917148,0.101477475610243,7.75
0.0117208974610714,0.101991422686364,0.0745820282491656,0.0831818557399986,8
-0.00521698033673657,0.0846144452430317,0.05717779484958,0.0654492682756087,8.25
-0.0216491735833775,0.0677562617799121,0.0402931691635544,0.0482460916169882,8.5
-0.0376050036715707,0.0513867907728622,0.0238980224837864,0.0315416286386068,8.75
-0.0531113134446775,0.0354784935013197,0.00796477289496544,0.0153077770555516,9
-0.0681927389085892,0.0200060952925192,-0.00753189391924081,-0.000481255036833605,9.25
-0.0828719447015298,0.00494634394734406,-0.0226152666292476,-0.015849195680778,9.5
-0.0971698289723053,-0.00972220044921501,-0.0373068187787764,-0.0308179235470321,9.75
-0.111105702315707,-0.024019349102204,-0.0516263926469394,-0.045407655265755,10
-0.124697444609931,-0.0379634454099995,-0.0655923604039095,-0.0596371096226025,10.25
-0.137961642952072,-0.0515715064756603,-0.079221765844236,-0.0735236519660287,10.5
-0.150913713361137,-0.0648593479649817,-0.0925304494407373,-0.0870834216204894,10.75
-0.163568008488268,-0.0778416946090146,-0.105533159020347,-0.100331444650333,11
-0.175937913221456,-0.090532278287248,-0.11824364800114,-0.113281733950202,11.25
-0.188035929781553,-0.102943925329658,-0.130674762831312,-0.125947378333663,11.5
-0.199873753665932,-0.115088634429142,-0.142838521023828,-0.138340622040083,11.75
-0.211462341596209,-0.126977646350727,-0.154746180974962,-0.150472935870391,12
-0.222811972459467,-0.138621506452641,-0.166408304583437,-0.162355080987609,12.25
-0.233932302092486,-0.150030120890772,-0.177834813543044,-0.173997166271509,12.5
-0.244832412640658,-0.161212807257178,-0.189035040060573,-0.185408699993401,12.75
-0.255520857123837,-0.172178340301261,-0.200017772648704,-0.196598636472974,13
-0.266005699757004,-0.182934993295712,-0.210791297556835,-0.207575418290769,13.25
-0.276294552501958,-0.193490575535771,-0.221363436329162,-0.218347014554837,13.5
-0.286394608265047,-0.203852466397582,-0.231741579916452,-0.228920955656087,13.75
-0.296312671103604,-0.214027646327707,-0.241932719714163,-0.239304364891971,14
-0.30605518375881,-0.224022725089746,-0.251943475853375,-0.249503987291167,14.25
-0.315628252794014,-0.233843967554356,-0.261780123031252,-0.259526215931367,14.5
-0.32503767158415,-0.24349731728464,-0.271448614133435,-0.269377116007335,14.75
-0.334288941372988,-0.252988418139295,-0.280954601871067,-0.279062446876144,15
-0.343387290589865,-0.262322634090108,-0.290303458629377,-0.288587682280235,15.25
-0.352337692595737,-0.271505067428063,-0.29950029470234,-0.297958028926089,15.5
-0.361144882009353,-0.280540575512751,-0.308549975068364,-0.307178443576418,15.75
-0.36981336974774,-0.289433786202773,-0.317457134844889,-0.316253648796333,16
-0.378347456900615,-0.298189112089829,-0.326226193544809,-0.325188147478728,16.25
-0.386751247545548,-0.306810763646105,-0.334861368244475,-0.333986236260723,16.5
-0.39502866059947,-0.315302761383021,-0.343366685761518,-0.342652017931231,16.75
-0.403183440792189,-0.323668947109225,-0.3517459939305,-0.351189412919343,17
-0.411219168838833,-0.331912994366748,-0.360002972055439,-0.359602169944052,17.25
-0.419139270880382,-0.340038418116275,-0.368141140610268,-0.367893875897725,17.5
-0.42694702725459,-0.34804858373544,-0.37616387025125,-0.376067965028548,17.75
-0.434645580653489,-0.355946715387817,-0.384074390199089,-0.38412772748078,18
-0.442237943718264,-0.363735903814672,-0.391875796042909,-0.392076317245959,18.25
-0.449727006117401,-0.371419113596618,-0.399571057013295,-0.399916759573165,18.5
-0.457115541149766,-0.378999189927862,-0.407163022767172,-0.407651957881898,18.75
-0.464406211910341,-0.386478864941793,-0.414654429723302,-0.415284700217109,19
-0.471601577052943,-0.393860763623085,-0.422047906983676,-0.422817665282303,19.25
-0.478704096181117,-0.401147409338352,-0.429345981872831,-0.430253428083364,19.5
-0.485716134895636,-0.408341229014494,-0.436551085124326,-0.437594465212878,19.75
-0.492639969524519,-0.415444557991341,-0.443665555740994,-0.444843159802087,20
-0.499477791559238,-0.422459644572861,-0.450691645553289,-0.452001806165227,20.25
-0.506231711818742,-0.429388654299136,-0.457631523497964,-0.459072614158934,20.5
-0.512903764361099,-0.436233673959406,-0.464487279637408,-0.466057713277411,20.75
-0.519495910160884,-0.442996715364797,-0.471260928938291,-0.47295915650236,21
-0.526010040568968,-0.449679718897792,-0.477954414826605,-0.479778923925097,21.25
-0.532447980569949,-0.456284556854119,-0.484569612534792,-0.486518926156821,21.5
-0.538811491851294,-0.462813036591446,-0.491108332255379,-0.493181007541756,21.75
-0.54510227569708,-0.469266903498151,-0.497572322114402,-0.499766949186665,22
-0.551321975718239,-0.475647843794341,-0.503963270976819,-0.506278471819196,22.25
-0.557472180430268,-0.481957487176385,-0.510282811095194,-0.512717238486533,22.5
-0.563554425688512,-0.488197409315332,-0.516532520612032,-0.519084857104944,22.75
-0.569570196990365,-0.494369134218794,-0.522713925925367,-0.525382882869994,23
-0.575520931653017,-0.500474136465153,-0.528828503926467,-0.531612820536478,23.25
-0.581408020874744,-0.506513843318279,-0.534877684117883,-0.537776126576415,23.5
-0.58723281168712,-0.51248963673036,-0.540862850619407,-0.543874211222863,23.75
-0.59299660880502,-0.518402855239863,-0.546785344069016,-0.549908440406722,24
-0.598700676380762,-0.524254795771145,-0.552646463425306,-0.555880137593173,24.25
-0.604346239668279,-0.530046715341777,-0.558447467677492,-0.561790585523941,24.5
-0.609934486602829,-0.535779832683196,-0.564189577468602,-0.567641027871112,24.75
-0.615466569301298,-0.541455329779909,-0.569873976637099,-0.57343267080784,25
-0.620943605487872,-0.547074353332123,-0.575501813681799,-0.579166684500903,25.25
-0.62636667984947,-0.552638016146315,-0.581074203154628,-0.584844204529733,25.5
-0.631736845325052,-0.558147398457967,-0.586592226985425,-0.590466333236219,25.75
-0.637055124332649,-0.563603549190398,-0.592056935742758,-0.596034141009306,26
-0.642322509937663,-0.569007487153365,-0.597469349834396,-0.601548667508114,26.25
-0.647539966965816,-0.574360202184849,-0.602830460650889,-0.6070109228271,26.5
-0.652708433063828,-0.579662656239241,-0.608141231655465,-0.612421888606508,26.75
-0.65782881971077,-0.584915784424908,-0.613402599423217,-0.617782519091169,27
-0.662902013182801,-0.590120495993942,-0.618615474632407,-0.623093742140506,27.25
-0.667928875473858,-0.595277675286719,-0.623780743010507,-0.628356460192419,27.5
-0.672910245174681,-0.600388182633708,-0.628899266237423,-0.633571551183554,27.75
-0.677846938312415,-0.605452855216844,-0.633971882808218,-0.638739869428303,28
-0.682739749152902,-0.610472507892613,-0.638999408857489,-0.643862246458728,28.25
-0.687589450967622,-0.615447933978883,-0.64398263894743,-0.648939491827499,28.5
-0.692396796767143,-0.620379906007362,-0.648922346821472,-0.653972393875748,28.75
-0.697162520002826,-0.625269176443493,-0.653819286125306,-0.658961720467699,29
-0.701887335238397,-0.630116478375442,-0.658674191096958,-0.663908219693753,29.25
-0.706571938792961,-0.634922526173777,-0.66348777722749,-0.668812620543666,29.5
-0.711217009356865,-0.639688016123295,-0.668260741893829,-0.673675633551313,29.75
-0.715823208581799,-0.644413627028431,-0.672993764965121,-0.678497951412476,30
-0.720391181646419,-0.64910002079353,-0.677687509383915,-0.683280249576998,30.25
-0.724921557798677,-0.653747842979245,-0.682342621723432,-0.688023186816566,30.5
-0.729414950876023,-0.658357723336227,-0.686959732722092,-0.692727405769323,30.75
-0.733871959804548,-0.662930276317199,-0.691539457796394,-0.69739353346242,31
-0.738293169078076,-0.667466101568476,-0.696082397533204,-0.702022181813593,31.25
-0.742679149218164,-0.671965784401888,-0.700589138162418,-0.706613948112749,31.5
-0.747030457215932,-0.676429896248059,-0.705060252010957,-0.711169415484518,31.75
-0.751347636956552,-0.68085899509191,-0.709496297938944,-0.715689153332665,32
-0.755631219627229,-0.685253625891209,-0.713897821758919,-0.72017371776721,32.25
-0.759881724109427,-0.689614320978966,-0.718265356638863,-0.72462365201506,32.5
-0.764099657356062,-0.693941600450408,-0.722599423489777,-0.729039486814894,32.75
-0.76828551475436,-0.698235972535242,-0.726900531338529,-0.733421740797054,33
-0.772439780475017,-0.702497933955863,-0.731169177686631,-0.737770920849079,33.25
-0.776562927808282,-0.706727970272157,-0.735405848855572,-0.742087522467562,33.5
-0.780655419487548,-0.710926556213475,-0.739611020319322,-0.746372030096923,33.75
-0.784717708001001,-0.715094155998361,-0.743785157024555,-0.750624917455675,34
-0.78875023589185,-0.719231223642571,-0.747928713699155,-0.75484664785075,34.25
-0.792753436047645,-0.723338203255885,-0.752042135149494,-0.759037674480384,34.5
-0.796727731979145,-0.727415529328207,-0.756125856546976,-0.763198440726071,34.75
-0.800673538089194,-0.731463627005411,-0.760180303704323,-0.767329380434056,35
-0.804591259932024,-0.735482912355369,-0.76420589334201,-0.771430918186804,35.25
-0.808481294463401,-0.739473792624577,-0.768203033345304,-0.775503469564879,35.5
-0.812344030281988,-0.743436666485777,-0.772172123012271,-0.779547441399638,35.75
-0.816179847862301,-0.747371924276954,-0.776113553293144,-0.783563232017111,36
-0.819989119779604,-0.75127994823206,-0.780027707021412,-0.787551231473452,36.25
-0.823772210927075,-0.755161112703809,-0.783914959136963,-0.791511821782291,36.5
-0.827529478725559,-0.759015784378868,-0.78777567690162,-0.79544537713433,36.75
-0.831261273326213,-0.762844322485754,-0.79161022010735,-0.799352264109497,37
-0.834967937806322,-0.766647078995735,-0.795418941277492,-0.803232841881949,37.25
-0.838649808358578,-0.770424398816999,-0.799202185861226,-0.807087462418229,37.5
-0.842307214474054,-0.774176619982389,-0.802960292421603,-0.81091647066883,37.75
-0.845940479119153,-0.77790407383093,-0.806693592817357,-0.814720204753441,38
-0.849549918906749,-0.781607085183406,-0.810402412378755,-0.818498996140121,38.25
-0.853135844261755,-0.785285972512222,-0.814087070077731,-0.822253169818635,38.5
-0.856698559581327,-0.788941048105767,-0.817747878692499,-0.825983044468174,38.75
-0.860238363389929,-0.792572618227488,-0.821385144966885,-0.829688932619695,39
-0.86375554848943,-0.796180983269889,-0.824999169764561,-0.833371140813063,39.25
-0.867250402104447,-0.79976643790363,-0.828590248218381,-0.83702996974921,39.5
-0.870723206023096,-0.803329271221939,-0.832158669875017,-0.840665714437489,39.75
-0.874174236733331,-0.806869766880478,-0.835704718835049,-0.844278664338418,40
